x,y
309,176
308,177
308,187
313,192
313,195
312,196
312,197
311,198
311,200
310,201
310,203
309,204
309,206
308,207
308,214
307,215
307,219
306,220
306,224
305,225
305,227
303,229
302,229
301,230
299,230
298,231
296,231
292,235
292,236
291,237
291,239
290,240
290,242
289,243
289,244
287,246
285,246
284,247
282,247
281,248
279,248
278,249
276,249
275,250
274,250
273,251
272,251
271,252
269,252
268,253
267,253
266,254
265,254
264,255
262,255
261,256
260,256
259,257
258,257
252,263
248,263
247,264
242,264
241,265
239,265
238,266
237,266
236,267
234,267
233,268
231,268
230,269
229,269
228,270
219,270
218,269
219,270
228,270
229,269
230,269
231,268
233,268
234,267
236,267
237,266
238,266
239,265
241,265
242,264
247,264
248,263
252,263
258,257
259,257
260,256
261,256
262,255
264,255
265,254
266,254
267,253
268,253
269,252
271,252
272,251
273,251
274,250
275,250
276,249
278,249
279,248
281,248
282,247
284,247
285,246
287,246
288,245
289,245
298,254
298,255
299,256
299,257
301,259
301,260
303,262
303,263
305,265
305,266
309,270
309,271
310,272
312,272
313,273
314,273
315,274
320,274
321,275
325,275
326,276
340,276
341,277
348,277
357,268
361,268
362,269
365,269
366,270
368,270
369,271
368,272
368,275
367,276
367,277
366,278
367,277
367,276
368,275
368,272
369,271
371,271
372,272
397,272
398,271
427,271
428,270
461,270
462,271
488,271
489,270
514,270
515,269
528,269
529,268
548,268
549,267
570,267
571,268
574,268
575,269
576,269
577,270
581,270
582,271
585,271
586,272
589,272
590,273
596,273
597,274
600,274
601,275
603,275
604,276
605,276
606,277
607,277
615,285
616,285
617,286
618,286
619,287
622,287
623,288
624,288
625,289
626,289
628,291
629,291
632,294
632,295
634,297
634,298
636,300
636,302
637,303
637,305
638,306
638,308
639,309
639,310
640,311
640,314
639,315
639,319
638,320
638,322
637,323
637,324
636,325
636,327
635,328
635,330
634,331
634,333
633,334
633,336
632,337
632,340
631,341
631,343
630,344
629,344
628,345
627,345
626,346
624,346
623,347
622,347
621,348
620,348
619,349
618,349
617,350
616,350
615,351
613,351
612,352
611,352
610,353
609,353
608,354
607,354
606,355
605,355
604,356
603,356
602,357
599,357
598,358
597,358
596,359
594,359
593,360
591,360
590,361
589,361
588,362
587,362
586,363
585,363
584,364
583,364
580,367
579,367
578,368
577,368
575,370
574,370
573,371
571,371
568,374
567,374
566,375
565,375
564,376
563,376
561,378
559,378
558,379
552,379
551,380
544,380
543,381
541,381
540,382
538,382
537,383
533,383
532,384
527,384
526,385
516,385
515,386
510,386
509,387
475,387
473,385
471,385
470,384
460,384
459,383
439,383
438,382
435,382
434,383
384,383
383,382
381,382
380,381
359,381
358,382
341,382
340,383
332,383
331,384
327,384
326,385
325,385
323,387
320,387
319,388
312,388
311,389
308,389
307,390
305,390
303,392
302,392
299,389
299,387
298,386
298,385
298,386
